app_name,review_id,review_date,rating,review_text,review_text_clean,thumbs_up_count,app_version,sentiment_score,gap_score,original_text,pre_translated_text,emoji_converted,detected_lang,confidence,translated_text,cleaned_text,post_translated,source_file
Nagad,d3230112-3e23-4610-8106-73e8f1831a5e,2025-07-08 12:28:07,1,couldn’t connect with internet server,couldnt connect with internit server,0,1.1.75.01,0.0,-0.5,couldn’t connect with internet server,couldn’t connect with internit server,couldn’t connect with internit server,en,0.642,couldn’t connect with internit server,couldnt connect with internit server,couldnt connect with internit server,nagad_bd_reviews_translated
Nagad,a7b3af22-cce6-42a5-87f8-5227687abf9a,2025-09-07 14:20:08,1,"always server problem, couldn't even open the account","always server problem, couldn't even open the account",0,unknown,-0.4019,-0.29905,"always server problem, couldn't even open the account","always server problem, couldn't even open the account","always server problem, couldn't even open the account",en,0.958,"always server problem, couldn't even open the account","always server problem, couldn't even open the account","always server problem, couldn't even open the account",nagad_bd_reviews_translated
bKash,3e7e89cf-79e9-48f0-adde-e5260750bc41,2025-06-10 09:55:10,1,"This security system is an absolute hassle! You have to enter the verification code within 30 seconds to log in, but the code itself arrives after that time. I’ve been trying over and over again, but still can’t log in. It’s honestly so frustrating! 🤬","this security system is an abullshitolute hassle! you have to enter the veryappication codee within 30 seconds to logoodd in, but the codee itselapp arrives aappter that time. ive been tryingoodd over and over agooddain, but still cant logoodd in. its honestly so apprustratingoodd! face_with_symbols_on_mouth",116,6.8.2,0.7418,-0.8709,"this security system is an absolute hassle! you have to enter the verification code within 30 seconds to log in, but the code itself arrives after that time. i’ve been trying over and over again, but still can’t log in. it’s honestly so frustrating! 🤬","this security system is an abullshitolute hassle! you have to enter the veryappication codee within 30 seconds to logoodd in, but the codee itselapp arrives aappter that time. i’ve been tryingoodd over and over agooddain, but still can’t logoodd in. it’s honestly so apprustratingoodd! 🤬","this security system is an abullshitolute hassle! you have to enter the veryappication codee within 30 seconds to logoodd in, but the codee itselapp arrives aappter that time. i’ve been tryingoodd over and over agooddain, but still can’t logoodd in. it’s honestly so apprustratingoodd!  face_with_symbols_on_mouth ",en,0.881,"this security system is an abullshitolute hassle! you have to enter the veryappication codee within 30 seconds to logoodd in, but the codee itselapp arrives aappter that time. i’ve been tryingoodd over and over agooddain, but still can’t logoodd in. it’s honestly so apprustratingoodd!  face_with_symbols_on_mouth ","this security system is an abullshitolute hassle! you have to enter the veryappication codee within 30 seconds to logoodd in, but the codee itselapp arrives aappter that time. ive been tryingoodd over and over agooddain, but still cant logoodd in. its honestly so apprustratingoodd! face_with_symbols_on_mouth","this security system is an abullshitolute hassle! you have to enter the veryappication codee within 30 seconds to logoodd in, but the codee itselapp arrives aappter that time. ive been tryingoodd over and over agooddain, but still cant logoodd in. its honestly so apprustratingoodd! face_with_symbols_on_mouth",bkash_bd_reviews_translated
Nagad,ec1c5dd1-46a7-4e60-a14c-daa0ec7bd932,2025-08-05 17:11:37,1,nice,nice,0,1.1.83.01,0.4215,-0.71075,nice,nice,nice,en,0.839,nice,nice,nice,nagad_bd_reviews_translated
bKash,10445591-f310-4eb3-80a5-b13d2ece9248,2025-08-25 12:15:11,2,nice,nice,0,6.9.0,0.4215,-0.46075,nice,nice,nice,en,0.839,nice,nice,nice,bkash_bd_reviews_translated
Rocket,631300be-4033-4a2c-85df-bc20ada49860,2025-07-05 20:05:53,1,apps no connect login new account help 😭😭,apps no connect logooddin new account help loudly_crying_face loudly_crying_face,0,3.0.11,0.128,-0.5640000000000001,apps no connect login new account help 😭😭,appps no connect logooddin new account help 😭😭,appps no connect logooddin new account help  loudly_crying_face  loudly_crying_face ,en,0.566,appps no connect logooddin new account help  loudly_crying_face  loudly_crying_face ,apps no connect logooddin new account help loudly_crying_face loudly_crying_face,apps no connect logooddin new account help loudly_crying_face loudly_crying_face,rocket_bd_reviews_translated
Nagad,72df6b3e-1520-4b60-8c69-7be66839862a,2025-11-14 10:24:34,1,unwanted permission,unwanted permyssion,1,1.1.93.02,-0.2263,-0.38685,unwanted permission,unwanted permyssion,unwanted permyssion,en,0.888,unwanted permyssion,unwanted permyssion,unwanted permyssion,nagad_bd_reviews_translated
bKash,b4cf2e0c-9452-4ff5-bd50-8dc21a36e226,2025-11-02 19:47:27,1,npsb kobe calu hobe.,npsb kobe calu hobe.,1,6.3.0,0.0,-0.5,npsb kobe calu hobe.,npsb kobe calu hobe.,npsb kobe calu hobe.,en,0.239,npsb kobe calu hobe.,npsb kobe calu hobe.,npsb kobe calu hobe.,bkash_bd_reviews_translated
bKash,f4d4df1c-2507-4d2b-b318-993758163f61,2025-10-19 14:00:06,1,Enable free money sending and receiving services from your app to Cellfin and other MFS apps. Then the beneficiaries will benefit.,enonotble appree money sendingoodd and receibrotherngoodd serbrotherces approm your app to cellappin and other mapps apps. then the beneappiciaries will beneappit.,6,6.9.5,0.0,-0.5,enable free money sending and receiving services from your app to cellfin and other mfs apps. then the beneficiaries will benefit.,eno/notble appree money sendingoodd and receibrotherngoodd serbrotherces approm your appp to cellappin and other mapps appps. then the beneappiciaries will beneappit.,eno/notble appree money sendingoodd and receibrotherngoodd serbrotherces approm your appp to cellappin and other mapps appps. then the beneappiciaries will beneappit.,en,0.761,eno/notble appree money sendingoodd and receibrotherngoodd serbrotherces approm your appp to cellappin and other mapps appps. then the beneappiciaries will beneappit.,enonotble appree money sendingoodd and receibrotherngoodd serbrotherces approm your app to cellappin and other mapps apps. then the beneappiciaries will beneappit.,enonotble appree money sendingoodd and receibrotherngoodd serbrotherces approm your app to cellappin and other mapps apps. then the beneappiciaries will beneappit.,bkash_bd_reviews_translated
Nagad,5c39e464-7464-4fa0-a0b1-0b784b7289d0,2025-11-14 07:50:03,1,showing app couldn't connect with internet,showingoodd app couldn't connect with internit,6,1.1.93.02,0.0,-0.5,showing app couldn't connect with internet,showingoodd appp couldn't connect with internit,showingoodd appp couldn't connect with internit,en,0.965,showingoodd appp couldn't connect with internit,showingoodd app couldn't connect with internit,showingoodd app couldn't connect with internit,nagad_bd_reviews_translated
bKash,55be7ad6-71cb-49fe-b8ad-ed72d167b8fa,2025-09-22 17:57:33,5,lon pls,loan please,0,6.9.5,0.3182,0.3409,lon pls,loan please,loan please,en,0.997,loan please,loan please,loan please,bkash_bd_reviews_translated
