review_id,original_text,pre_translated_text,emoji_converted,detected_lang,confidence,translated_text,cleaned_text,post_translated
12e1f9e5-80a1-4721-b85e-9cf6d583d521,ok ok,ok ok,ok ok,en,0.916,ok ok,ok ok,ok ok
ca212978-65d8-4da2-b3bf-bf9a4725378f,mdmilon,mdmyloan,mdmyloan,en,0.943,mdmyloan,mdmyloan,mdmyloan
c359ea93-1703-448f-b1ea-26716f4f1e04,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
82740e7d-6c49-478c-a133-fc4cc9e39fe5,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
d7409937-9690-4909-9e7b-621955561360,ভালো,good,good,en,0.895,good,good,good
1b6d5047-5754-400f-af64-99fce4451d9c,it's my android phone,it's my android phone,it's my android phone,en,0.95,it's my android phone,it's my android phone,it's my android phone
6e80c9c9-3b2b-4ae2-be5e-745becbdd870,অনেক ভালো,অনেক good,অনেক good,bn,0.92,very good,very good,very good
a336b665-99c1-4f31-9205-8163cffd2602,আরও উন্নত মানের হোলে ভালো হয়,আরও উন্নত মানের হোলে good হয়,আরও উন্নত মানের হোলে good হয়,bn,1.0,Better quality is good,better quality is good,better quality is good
114a01cf-3cf6-43dc-b5c7-e24987d15930,bulbul,bulbul,bulbul,en,0.45,bulbul,bulbul,bulbul
160c35af-63e3-4a26-8fd5-309588373a6f,nice,nice,nice,en,0.839,nice,nice,nice
76c7bb39-f905-4dbf-b8d7-6a156dd89d37,আনেক সুন্দর,আনেক সুন্দর,আনেক সুন্দর,bn,0.988,very beautiful,very beautiful,very beautiful
040aba51-8cea-43c8-9ab8-b4fc8b098167,laizuakter,laizuakter,laizuakter,nl,0.249,lay out,lay out,lay out
d98c1076-fc49-45a8-a50a-d30330747c98,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
c44edd84-d38d-4f35-a569-3f4aba65eb2c,babul bd,babul bd,babul bd,en,0.199,babul bd,babul bd,babul bd
73628d8c-bdd2-4996-aecc-ee11f4ccf1c5,মোহাম্মদ আবদুল মোমিন,মোহাম্মদ আবদুল মোমিন,মোহাম্মদ আবদুল মোমিন,bn,0.999,Mohammad Abdul Momin,mohammad abdul momin,mohammad abdul momin
81146488-6421-4826-afd2-1b71104a7db9,got,gooddot,gooddot,de,0.173,gooddot,gooddot,gooddot
93dff948-ab6b-47e2-ab52-ef4141dd428e,aliakbor,aliakbor,aliakbor,id,0.325,aliakbor,aliakbor,aliakbor
91e248f3-2fdc-4d7e-b81a-5d8653b5f1b3,অনেক ভালো,অনেক good,অনেক good,bn,0.92,very good,very good,very good
7705322a-ad93-4649-874c-e62972851251,ল ঋ,ল ঋ,ল ঋ,as,0.684,L,l,l
bd13219d-e99c-4194-b4b4-3ddd87fe556b,লাইক,লাইক,লাইক,bn,0.915,like,like,like
5e040a39-e4d2-4c6d-8b29-08392e53ee52,ভালো,good,good,en,0.895,good,good,good
8a179a2c-98e4-4143-ba76-a82e23230ef6,গুড,গুড,গুড,bn,0.998,good,good,good
75884e8b-76ef-4966-91eb-de1cbf5a1cdd,jaman faccb0k,jaman appaccb0k,jaman appaccb0k,en,0.721,appaccb0k era,appaccb0k era,appaccb0k era
1dcc4d9b-7b51-49cf-804d-9f101e0bc27a,❤️❤️❤️ অনেক সুবিধা আছে অনেক ভালো একটা অ্যাপ,❤️❤️❤️ অনেক সুবিধা আছে অনেক good একটা অ্যাপ, red_heart  red_heart  red_heart  অনেক সুবিধা আছে অনেক good একটা অ্যাপ,bn,0.931,red_heart red_heart red_heart has many benefits very good app,red_heart red_heart red_heart has many benefits very good app,red_heart red_heart red_heart has many benefits very good app
43993948-2d9a-4464-b971-5129628c9d58,md mahadi,md mahadi,md mahadi,en,0.501,md compound,md compound,md compound
dc8b6008-3300-444e-acf2-c86fe9decece,excellent ❤️,excellent ❤️,excellent  red_heart ,en,0.646,excellent  red_heart,excellent red_heart,excellent red_heart
b18c07b7-1913-460d-b927-be9926e0435d,aminul,inul,inul,ro,0.989,inul,inul,inul
fcdf5cf6-6abd-4447-9abb-ad04f8c381c4,mr shanto ok,mr shanto ok,mr shanto ok,en,0.767,mr shanto ok,mr shanto ok,mr shanto ok
c82abfd2-6ca8-43df-959a-0c9c4554daa4,অআ না করে তাহলে তার জন্য আমি সবার কাছে অপ্রিয় না করে তাহলে তার জন্য আমি সবার কাছে অপ্রিয় না করে,অআ না করে তাহলে তার জন্য আমি সবার কাছে অপ্রিয় না করে তাহলে তার জন্য আমি সবার কাছে অপ্রিয় না করে,অআ না করে তাহলে তার জন্য আমি সবার কাছে অপ্রিয় না করে তাহলে তার জন্য আমি সবার কাছে অপ্রিয় না করে,bn,1.0,"If you don't do it, don't make me unloved by everyone, then don't make me unloved by everyone","if you don't do it, don't make me unloved by everyone, then don't make me unloved by everyone","if you don't do it, don't make me unloved by everyone, then don't make me unloved by everyone"
b22b251c-fcbb-4442-8220-9113e867f88c,ভালো,good,good,en,0.895,good,good,good
86f39709-a5de-46c7-b50e-5a55c6e63d26,অনেক সুন্দর,অনেক সুন্দর,অনেক সুন্দর,bn,0.966,very beautiful,very beautiful,very beautiful
756ae423-ab1c-43ea-ba5a-45a21b805528,good,gooddood,gooddood,nl,0.268,their pits,their pits,their pits
512d6cef-9c30-484c-a0d7-0714f2ca7bce,আমার নগদ টাকা ক্যাশ আউট হচ্ছেনা,আমার nagad bdt ক্যাশ আউট হচ্ছেনা,আমার nagad bdt ক্যাশ আউট হচ্ছেনা,bn,1.0,My nagad bdt is not cashing out,my nagad bdt is not cashing out,my nagad bdt is not cashing out
d7c72fa1-c189-4efa-ba91-77d4fadb5dd4,পিন বিকল্প হিসেবে ফিঙ্গার দেওয়া যায় না।,পিন বিকল্প হিসেবে ফিঙ্গার দেওয়া যায় না।,পিন বিকল্প হিসেবে ফিঙ্গার দেওয়া যায় না।,bn,1.0,Finger cannot be provided as a PIN option.,finger cannot be provided as a pin option.,finger cannot be provided as a pin option.
1ca99420-6654-4deb-9fe9-ee4adb8fa108,ভালো একটা app,good একটা appp,good একটা appp,bn,0.863,A good app,a good app,a good app
4076856a-08d5-4fc3-8819-12619969b5f6,খুব ভালো,খুব good,খুব good,en,0.614,very good,very good,very good
a7d65ec2-8341-44fe-9f16-1fc2b80a3e37,wallow,wallow,wallow,en,0.641,wallow,wallow,wallow
664e7234-c4f1-4300-b415-81c88804d7b3,i me nogad apps youse me in injoy,i me nogooddad appps youse me in injoy,i me nogooddad appps youse me in injoy,en,0.521,i me nogooddad appps youse me in injoy,i me nogooddad apps youse me in injoy,i me nogooddad apps youse me in injoy
fd281ba6-d02a-46b9-b733-5fd6ad4793b8,সেই,সেই,সেই,bn,0.98,that,that,that
e25d7756-d6da-416c-919f-ca6fc79c4cc9,nice,nice,nice,en,0.839,nice,nice,nice
90514bd7-9721-4006-b356-e8d9bb4b2dcc,nice,nice,nice,en,0.839,nice,nice,nice
a39c3c7e-3fa7-4ab3-920c-0e23de59c804,তোর ফকিন্নির মারে চূদি,তোর ফকিন্নির মারে চূদি,তোর ফকিন্নির মারে চূদি,bn,0.978,Your fakinni mare chudi,your fakinni mare chudi,your fakinni mare chudi
b2db2ce3-e01e-4a07-a60a-f35b7eb58d78,আমি জানিনা আমার,আমি জানিনা আমার,আমি জানিনা আমার,bn,1.0,i don't know mine,i don't know mine,i don't know mine
9ef13e8c-1dc9-469d-b7a5-f4686db93184,ফরিত,ফরিত,ফরিত,bn,0.998,Farit,farit,farit
e6985a9a-a8da-460e-bc4f-7f86b18847ac,good app,gooddood appp,gooddood appp,en,0.266,gooddood appp,gooddood app,gooddood app
84b04f43-b70f-4bd8-9310-b00455aeebe4,good,gooddood,gooddood,nl,0.268,their pits,their pits,their pits
4741648a-2bc7-469c-91cb-f6ecce632204,good,gooddood,gooddood,nl,0.268,their pits,their pits,their pits
79361600-36af-4799-81b6-cfa1be33b7bd,nice,nice,nice,en,0.839,nice,nice,nice
712a08cd-a549-435f-81a7-2f755f78a5db,সুন্দর একটা অ্যাপস,সুন্দর একটা অ্যাপস,সুন্দর একটা অ্যাপস,bn,1.0,A nice app,a nice app,a nice app
0e4eb31d-7f87-45f4-ab0a-9d53f8a80e8c,খুব ভালো নেগেট অ্যাপ,খুব good নেগেট অ্যাপ,খুব good নেগেট অ্যাপ,bn,0.996,Very good negate app,very good negate app,very good negate app
2c7eeb05-1502-478c-8465-b9812da19172,অসাধারণ,অসাধারণ,অসাধারণ,bn,0.997,wonderful,wonderful,wonderful
3bee5388-5263-4dc9-93e0-5e3210063ac2,খুব ভালো 🥰,খুব good 🥰,খুব good  smiling_face_with_hearts ,en,0.611,খুব good  smiling_face_with_hearts,good smiling_face_with_hearts,good smiling_face_with_hearts
22d4309b-efbf-4fa2-9175-2a7664c03bd5,nice,nice,nice,en,0.839,nice,nice,nice
7f2d5d65-52f8-4a6f-890b-8037018eca59,ভালো,good,good,en,0.895,good,good,good
