review_id,original_text,pre_translated_text,emoji_converted,detected_lang,confidence,translated_text,cleaned_text,post_translated
a1405c55-faa0-432f-a455-da2bcccb2ac5,না আমার তথ্য শুধু মাত্র আমি ও আমার অনুমোদিত অ্যাপস রকেট ব্যতীত অন্য কেউ না,না আমার তথ্য শুধু মাত্র আমি ও আমার অনুমোদিত অ্যাপস রকেট ব্যতীত অন্য কেউ না,না আমার তথ্য শুধু মাত্র আমি ও আমার অনুমোদিত অ্যাপস রকেট ব্যতীত অন্য কেউ না,bn,1.0,No my data is only me and my authorized apps no one other than rocket,no my data is only me and my authorized apps no one other than rocket,no my data is only me and my authorized apps no one other than rocket
0f69e69a-fc22-4245-a868-781bc134a008,দুইদিন ধরে রকেট একাউন্ট খোলার জন্য চেষ্টা করতেছি নাম্বার পিন নাম্বার সব কিছুই ঠিকমতন দিচ্ছে কিন্তু খোলা যাচ্ছে না কোন নেট প্রবলেম নেই তারপরও যাচ্ছে না কেন আমি রকেট থেকে বিকাশে টাকা ক্যাশ আউট করবো,দুইদিন ধরে রকেট একাউন্ট খোলার জন্য চেষ্টা করতেছি নাম্বার পিন নাম্বার সব কিছুই ঠিকমতন দিচ্ছে কিন্তু খোলা যাচ্ছে না কোন নেট প্রবলেম নেই তারপরও যাচ্ছে না why আমি রকেট থেকে বিকাশে bdt ক্যাশ আউট করবো,দুইদিন ধরে রকেট একাউন্ট খোলার জন্য চেষ্টা করতেছি নাম্বার পিন নাম্বার সব কিছুই ঠিকমতন দিচ্ছে কিন্তু খোলা যাচ্ছে না কোন নেট প্রবলেম নেই তারপরও যাচ্ছে না why আমি রকেট থেকে বিকাশে bdt ক্যাশ আউট করবো,bn,1.0,I am trying to open rocket account since two days number pin number is giving everything ok but not opening no net problem still not working why I will cash out bdt in bkash from rocket,i am trying to open rocket account since two days number pin number is giving everything ok but not opening no net problem still not working why i will cash out bdt in bkash from rocket,i am trying to open rocket account since two days number pin number is giving everything ok but not opening no net problem still not working why i will cash out bdt in bkash from rocket
985146a8-dbd2-486e-91f5-fd276c59d7d9,ok,ok,ok,en,0.898,ok,ok,ok
b36a49d0-c2e5-4752-8007-f396cd5f2cad,ভালো,good,good,en,0.895,good,good,good
e7b197fd-a079-4809-8ae5-722f36019fd1,আমার অ্যাকাউন্টটি আমি খুলতে পারতেছি না কেন,আমার অ্যাকাউন্টটি আমি খুলতে পারতেছি না why,আমার অ্যাকাউন্টটি আমি খুলতে পারতেছি না why,bn,1.0,Why I could not open my account,why i could not open my account,why i could not open my account
fd7b2493-8296-4703-801f-1991c1d062ef,ধন্যবাদ সবাইকে,ধন্যবাদ সবাইকে,ধন্যবাদ সবাইকে,bn,0.999,Thanks everyone,thanks everyone,thanks everyone
0b35608e-3122-475b-85a3-9d44602fdecf,খুব ভালো,খুব good,খুব good,en,0.614,very good,very good,very good
58dfc97f-195e-4fab-b5a2-3998ba7f93a5,all ok but need skitto recharge.,all ok but need skitto rechargoodde.,all ok but need skitto rechargoodde.,en,0.892,all ok but need skitto rechargoodde.,all ok but need skitto rechargoodde.,all ok but need skitto rechargoodde.
5783853d-2e89-46e4-8a66-c94a89bf5aa8,nice app,nice appp,nice appp,en,0.785,nice appp,nice app,nice app
5bc2801f-935d-44a9-afbb-ddc4a10e3d59,এত কিছু বুঝিনা,এত কিছু বুঝিনা,এত কিছু বুঝিনা,bn,0.821,I don't understand so much,i don't understand so much,i don't understand so much
